Key,Status,BlockedBy,Assignee,Worktree,Branch,PRURL,MergeCommit,Tests,DocsUpdated,LastUpdatedUTC,Notes
P2-00,todo,,unassigned,wt-dist-foundation,, , ,pending,n/a,,
P2-01,todo,P2-00,unassigned,wt-dist-router,, , ,pending,no,,
P2-02,todo,P2-01,unassigned,wt-dist-router,, , ,pending,no,,
P2-03,todo,P2-01,unassigned,wt-dist-router,, , ,pending,no,,
P2-04,todo,P2-00|P2-01|P2-05|P2-06,unassigned,wt-dist-gateway,, , ,pending,no,,
P2-05,todo,P2-00,unassigned,wt-dist-shard,, , ,pending,no,,
P2-06,todo,P2-00,unassigned,wt-dist-gateway,, , ,pending,no,,
P2-07,todo,P2-02|P2-03|P2-04|P2-05|P2-06,unassigned,wt-dist-qa,, , ,pending,no,,
P2-08,todo,P2-04|P2-07,unassigned,wt-dist-qa,, , ,pending,no,,
P2-09,todo,P2-04|P2-07,unassigned,wt-dist-qa,, , ,pending,no,,
